Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
TRIM7	0	-2.08150219807823	0.0577604144282829	0.250250781109569	0.00783519348794152	78	93	75	35	129	12	23	21	46	23	1.768	3.106	1.411	0.549	2.582	0.283	0.408	0.403	0.704	0.393
THOC4	0	1.36302713790286	0.0579281273859451	5.21107767168262	0.00786087798941075	1163	703	531	1759	958	1800	3053	5985	1452	1237	26.355	23.481	9.991	27.607	19.178	42.415	54.154	114.834	22.227	21.142
HS3ST6	0	4.32903646377197	0.0579602147666245	-1.35569915623471	0.00786816814783475	1	1	0	7	0	0	1	4	1	178	0.023	0.033	0.000	0.110	0.000	0.000	0.018	0.077	0.015	3.042
PHLDA2	0	2.00942827185742	0.0580236606874402	3.20535689522847	0.0078797201044994	204	160	28	519	54	216	2068	729	332	599	4.623	5.344	0.527	8.145	1.081	5.090	36.682	13.987	5.082	10.238
CITED4	0	2.02275166523416	0.0581565492024333	5.72380982021086	0.007900712438503	676	798	540	3075	529	379	13791	3359	6328	208	15.319	26.654	10.160	48.260	10.590	8.931	244.624	64.449	96.869	3.555
MORC2	0	1.16124949865315	0.058168169976603	5.92252776186859	0.00790523756697527	1639	1037	1380	4096	1521	4604	5819	5749	2686	2778	37.142	34.637	25.965	64.284	30.449	108.489	103.217	110.306	41.117	47.479
PSMG1	0	1.53593423379885	0.0584012354054146	4.981414417656	0.00793987011590177	725	707	598	1305	595	455	7465	1976	1398	1470	16.429	23.615	11.252	20.481	11.911	10.722	132.414	37.913	21.401	25.124
AFP	0	-3.44641221216449	0.0584243169031412	-1.24142947420539	0.00794596752532338	6	90	1	34	19	0	2	1	18	0	0.136	3.006	0.019	0.534	0.380	0.000	0.035	0.019	0.276	0.000
ZDBF2	0	-1.6116746569094	0.0584372508215511	3.68372481529048	0.00795068664302939	759	401	1377	938	1135	461	97	103	732	398	17.200	13.394	25.909	14.721	22.721	10.863	1.721	1.976	11.205	6.802
RRAS	0	-1.43642897332752	0.0584440703301754	5.77610476020403	0.00795457486461257	4828	2317	4435	1310	4978	804	565	2934	2498	1210	109.408	77.391	83.447	20.560	99.654	18.945	10.022	56.295	38.239	20.680
NACC1	0	1.26471153045514	0.0584464019983434	6.14433144332977	0.0079578527287786	1760	1626	852	5280	1336	7966	6016	4902	4239	2719	39.883	54.311	16.031	82.867	26.745	187.711	106.712	94.055	64.891	46.471
TUBG1	0	1.31295699233936	0.0584656883697203	5.7420615931815	0.00796344017962607	1273	1028	1481	2365	1372	3627	3900	7920	1331	2301	28.848	34.337	27.866	37.117	27.466	85.467	69.178	151.961	20.375	39.327
SCG2	0	2.34225518464411	0.0586194337329648	1.49287363938825	0.00798778078852459	56	63	8	63	20	36	176	99	247	751	1.269	2.104	0.151	0.989	0.400	0.848	3.122	1.900	3.781	12.835
MASP2	0	-2.21047044516851	0.0586194337329648	0.329978883814626	0.00799576813572962	36	71	158	100	109	37	14	3	37	28	0.816	2.371	2.973	1.569	2.182	0.872	0.248	0.058	0.566	0.479
C12orf44	0	1.19676836125921	0.0586194337329648	5.488219885274	0.00799625848662112	1446	1097	642	2705	926	2361	2759	5668	3859	1900	32.768	36.641	12.080	42.453	18.538	55.635	48.939	108.752	59.074	32.473
C5orf41	0	-1.29877370144851	0.0586194337329648	4.80977581445376	0.00799171519564112	1827	653	2745	2050	2313	1235	438	394	1351	1015	41.402	21.811	51.649	32.174	46.304	29.102	7.769	7.560	20.681	17.348
LAMA3	0	-1.82389093485476	0.0586291918299838	6.43658275271757	0.00800055935518065	5832	3422	2190	19847	5533	5719	613	229	2115	1033	132.159	114.300	41.206	311.488	110.765	134.763	10.873	4.394	32.376	17.655
SLC25A13	0	1.22290075575247	0.0586559032549476	5.33826985956695	0.00800717552791428	965	827	924	2690	825	1490	4036	4428	1438	3394	21.868	27.623	17.386	42.218	16.516	35.110	71.590	84.960	22.013	58.007
HIST1H2AM	0	2.90228624328962	0.058733335300474	-0.714590786268244	0.00802072089808924	2	1	2	36	1	6	146	13	108	24	0.045	0.033	0.038	0.565	0.020	0.141	2.590	0.249	1.653	0.410
IL3RA	0	-1.56898354035309	0.0587487514295031	3.46523726729434	0.00802580197575575	818	854	849	230	808	168	343	229	613	238	18.537	28.525	15.974	3.610	16.175	3.959	6.084	4.394	9.384	4.068
FGF7	0	-1.47563707955516	0.0588146862276571	4.90808546129763	0.00803778864563969	1933	2043	2805	843	2078	295	987	232	1290	1758	43.804	68.239	52.778	13.230	41.599	6.951	17.507	4.451	19.747	30.046
EGR4	0	4.01459240762446	0.0588550583821983	-0.190827557550393	0.00804628723399621	3	3	0	21	1	0	403	4	30	1	0.068	0.100	0.000	0.330	0.020	0.000	7.148	0.077	0.459	0.017
DSCC1	0	1.78024166712098	0.0588578145377418	3.18885533240091	0.0080526267382454	201	120	235	264	167	317	1834	1023	282	222	4.555	4.008	4.422	4.143	3.343	7.470	32.531	19.628	4.317	3.794
RAVER1	0	1.15940280182116	0.0588578145377418	6.03604793027299	0.00805142450230053	1340	1986	1600	3608	1402	5646	8372	2822	4187	3132	30.366	66.335	30.105	56.626	28.067	133.043	148.502	54.146	64.095	53.529
RSPH1	0	2.4537371395505	0.0588844004551487	2.2603526080047	0.00805924678501731	34	81	6	251	28	171	31	253	1671	391	0.770	2.706	0.113	3.939	0.561	4.029	0.550	4.854	25.580	6.683
C19orf28	0	1.2138683438557	0.0589743610762828	5.2863083212446	0.00807454654995403	1363	930	547	2389	664	1246	3685	4259	3490	2082	30.887	31.063	10.292	37.494	13.293	29.361	65.364	81.717	53.425	35.584
ATAD5	0	1.85928981126969	0.0591117114093113	2.3774206565024	0.00809634624915296	90	86	82	219	82	320	902	420	95	364	2.039	2.873	1.543	3.437	1.642	7.540	16.000	8.059	1.454	6.221
PTCH1	0	-1.4013181301351	0.059180723363575	3.74058838295806	0.00810879630728752	774	437	1477	924	986	169	443	295	835	376	17.540	14.596	27.791	14.502	19.739	3.982	7.858	5.660	12.782	6.426
SEPT10	0	-1.05324382709128	0.059380782254322	6.58370101877421	0.00813921572182127	6543	3903	7031	5919	6906	2396	3680	2485	4154	4448	148.271	130.366	132.292	92.895	138.251	56.459	65.276	47.680	63.590	76.021
BHLHA15	0	2.43640684827305	0.0595774726039507	-1.32312493799321	0.00816919351326585	2	5	4	12	5	17	4	75	30	32	0.045	0.167	0.075	0.188	0.100	0.401	0.071	1.439	0.459	0.547
DHDH	0	2.99311219644735	0.0595991563809515	-1.40892634613823	0.00817518566911239	3	2	1	15	0	7	76	60	8	4	0.068	0.067	0.019	0.235	0.000	0.165	1.348	1.151	0.122	0.068
PTMS	0	1.34349663045285	0.0597804334323829	7.75297195426	0.0082030794331033	6500	4642	4526	8291	5254	8044	40247	6094	20592	12037	147.297	155.049	85.159	130.123	105.179	189.549	713.901	116.925	315.223	205.726
FAM19A1	0	-2.89781984436447	0.0598207497988099	-2.82522890309364	0.00821164177665762	4	4	16	2	16	3	1	0	1	1	0.091	0.134	0.301	0.031	0.320	0.071	0.018	0.000	0.015	0.017
CD97	0	-1.164931061657	0.0598855110588904	5.23115537236157	0.00822356501269637	3692	1739	2161	1774	2452	1507	932	869	2288	822	83.665	58.085	40.660	27.842	49.086	35.511	16.532	16.673	35.025	14.049
DES	0	-2.43959449180196	0.0599251891777263	3.13218149527606	0.00823204908570529	499	1110	857	103	487	25	15	460	25	141	11.308	37.076	16.125	1.617	9.749	0.589	0.266	8.826	0.383	2.410
HIST1H2BK	0	1.51306723215997	0.0601156986169612	6.10733148204785	0.00826126483374611	696	794	977	6933	1036	2750	11093	2337	10654	2685	15.772	26.521	18.383	108.810	20.740	64.801	196.767	44.840	163.092	45.890
PIGC	0	1.25526939263369	0.0601308159550395	5.56037993603196	0.00827247979606358	1060	986	1320	2025	1376	1586	9145	1999	4008	1756	24.021	32.934	24.837	31.781	27.546	37.373	162.214	38.355	61.355	30.012
SEPT5	0	1.45845418368753	0.0601308159550395	4.75143876837823	0.00827048083248041	472	590	423	1690	525	3734	2158	2253	1280	507	10.696	19.707	7.959	26.524	10.510	87.988	38.279	43.228	19.594	8.665
RRS1	0	1.25905386036568	0.0601308159550395	4.60777632324717	0.00826928879616292	674	610	307	1428	568	1453	2568	2063	1070	1857	15.274	20.375	5.776	22.412	11.371	34.239	45.551	39.583	16.380	31.738
