Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
NUP153	0	0.387636456408906	0.636085387351009	6.55340969298794	0.364591538741552	4047	2336	3949	6429	3297	3164	9960	5448	3633	6250	91.709	78.026	74.303	100.900	66.002	74.557	176.670	104.531	55.614	106.820
GNRH1	0	0.767461206818093	0.63613707598828	1.24998293335449	0.364720710366175	57	54	86	59	144	48	519	107	113	19	1.292	1.804	1.618	0.926	2.883	1.131	9.206	2.053	1.730	0.325
NDRG1	0	0.706863112947426	0.63613707598828	8.88744830061242	0.364756079600388	26126	9549	14680	10841	20979	7437	1991	97083	8756	29337	592.043	318.950	276.212	170.143	419.977	175.246	35.316	1862.730	134.037	501.403
TIMM13	0	0.401772172487772	0.63613707598828	4.88862809512902	0.36475897579715	1125	876	819	2478	1122	1348	1860	2752	2214	817	25.494	29.260	15.410	38.891	22.461	31.764	32.993	52.803	33.892	13.963
CUEDC2	0	0.349846993253685	0.63613707598828	5.14942646679367	0.364727272675318	1444	1010	1240	2254	1640	2488	1739	1507	3289	1866	32.723	33.735	23.331	35.375	32.831	58.627	30.846	28.915	50.348	31.892
KCTD3	0	0.406661927469258	0.636247384142518	7.15184065589647	0.364854454253746	4672	3866	4756	13569	4676	10836	6257	3044	13064	11566	105.873	129.130	89.487	212.958	93.608	255.340	110.987	58.405	199.984	197.676
C5orf45	0	-0.512586204026279	0.636484694301592	3.16213094325152	0.365022779297063	332.28	337.98	651.16	687.03	525.62	455.66	308.77	137.94	868.41	328.94	7.530	11.289	12.252	10.783	10.522	10.737	5.477	2.647	13.294	5.622
FCAMR	0	1.53006405325502	0.636723781509167	-4.04898835470362	0.365192147605526	0	2	0	0	0	3	0	5	0	0	0.000	0.067	0.000	0.000	0.000	0.071	0.000	0.096	0.000	0.000
TACO1	0	0.414083515881046	0.636731481657001	4.3554216464058	0.365293321915064	634	625	881	1121	943	1365	1371	1557	853	899	14.367	20.876	16.576	17.593	18.878	32.165	24.319	29.874	13.058	15.365
RBM15	0	0.545455580930227	0.636731481657001	3.20535909890098	0.365271977255256	416	201	449	491	249	366	1401	515	395.04	239	9.427	6.714	8.448	7.706	4.985	8.624	24.851	9.881	6.047	4.085
METT10D	0	-0.339546629829664	0.636731481657001	5.45793568998178	0.36523226246688	1953	2238	2316	3277	1872	1889	1992	1412	3146	2300	44.257	74.752	43.577	51.431	37.475	44.512	35.334	27.092	48.159	39.310
EPHA2	0	-0.473900008233942	0.636793216942939	4.59184526994157	0.365385192420442	1604	1528	811	1620	892	212	1359	1492	1903	706	36.348	51.037	15.259	25.425	17.857	4.996	24.106	28.627	29.131	12.066
TERF1	0	0.351387961661416	0.636793216942939	5.13720302136304	0.365393251014569	1219	1038	1741	1965	1457	1625	3214	1562	2576	1831	27.624	34.671	32.758	30.840	29.168	38.292	57.010	29.970	39.434	31.294
OTUD1	0	-0.424873232459832	0.636842268607297	4.54479130498865	0.365453655204745	1181	1158	1139	1155	1503	510	564	1211	2102	1250	26.763	38.679	21.431	18.127	30.088	12.018	10.004	23.235	32.177	21.364
CD79A	0	0.898444971820486	0.636951568716863	1.80729689919117	0.36556692434516	45	255	11	78	115	404	213	40	631	3	1.020	8.517	0.207	1.224	2.302	9.520	3.778	0.767	9.659	0.051
TUB	0	-0.454623003236859	0.636951568716863	4.36340253751341	0.365645432492564	709	451	1772	922	1764	979	1295	908	740	643	16.067	15.064	33.341	14.470	35.313	23.069	22.971	17.422	11.328	10.990
SLC44A1	0	0.360050409025264	0.636951568716863	7.16010937876413	0.365589392787626	4346	5231	5531	10214	5293	5802	7496	6871	15033	10043	98.485	174.723	104.069	160.303	105.960	136.719	132.964	131.834	230.126	171.646
METTL2B	0	0.400606246252784	0.636951568716863	4.21434887794708	0.365619047589831	687	511	856	951	812	1281	890	902	1474	1158	15.568	17.068	16.106	14.925	16.255	30.186	15.787	17.307	22.564	19.792
PKN3	0	-0.619257045507503	0.637205846347925	3.96223783920265	0.365823678579039	844	961	787	932	798	141	444	333	2954	96	19.126	32.099	14.808	14.627	15.975	3.323	7.876	6.389	45.220	1.641
DENND4B	0	0.354060116573251	0.637214541838785	5.52300237369033	0.365868409453619	1857.91	1484.87	2087.95	2170.94	1887.93	1521.9	4076.9	3009.65	3430.79	2066.81	42.102	49.597	39.286	34.072	37.794	35.862	72.316	57.746	52.519	35.324
BEND7	0	-0.494785520718225	0.637214541838785	4.18231934415691	0.365893224915635	896	952	1334	791	837	686	1849	653	482	310	20.304	31.798	25.100	12.414	16.756	16.165	32.798	12.529	7.378	5.298
FAM3B	0	-0.737341989478434	0.637225446362835	1.70763470929071	0.365931764026718	95	183	25	611	173	59	58	68	99	381	2.153	6.112	0.470	9.589	3.463	1.390	1.029	1.305	1.515	6.512
TBC1D3B	0	0.580716583107234	0.637391170881863	2.10819529288471	0.366059218694082	119	215	127	184	136	166	305	358	263	278	2.697	7.181	2.390	2.888	2.723	3.912	5.410	6.869	4.026	4.751
ARHGDIA	0	0.39415024006333	0.637583139146106	7.85067166466282	0.366298650805143	10951	7806	7318	13118	8347	9878	15339	19189	14520	10971	248.161	260.731	137.692	205.880	167.098	232.766	272.083	368.179	222.273	187.507
ZNF346	0	0.431380170412146	0.637583139146106	3.74577971359056	0.366271460460732	408	431	520	936	505	948	605	797	935	812	9.246	14.396	9.784	14.690	10.110	22.339	10.731	15.292	14.313	13.878
CROT	0	-0.523125495384047	0.637583139146106	4.88912741746644	0.366285238316217	827	1737	655	5284	845	2463	549	530	2329	726	18.741	58.018	12.324	82.929	16.916	58.038	9.738	10.169	35.652	12.408
CPNE9	0	1.01079053121	0.637583139146106	-3.24599958471903	0.366211476961289	3	1	3	1	2	14	0	4	2	2	0.068	0.033	0.056	0.016	0.040	0.330	0.000	0.077	0.031	0.034
C1orf89	0	0.703792455304747	0.637928004664575	1.09967652618818	0.366529093147112	43	67	41	215	56	178	21	83	238	200	0.974	2.238	0.771	3.374	1.121	4.194	0.372	1.593	3.643	3.418
C1orf38	0	-0.493939417458439	0.638045377437565	4.2296216827356	0.366628850250822	2043	695	1033	499	603	457	629	953	1836	559	46.297	23.214	19.436	7.832	12.071	10.769	11.157	18.285	28.106	9.554
KCNMB4	0	0.567890585171969	0.638147560656464	2.04102943130686	0.366719890368128	138	130	147	199	165	163	223	241	289	413	3.127	4.342	2.766	3.123	3.303	3.841	3.956	4.624	4.424	7.059
DGKQ	0	0.489643582072169	0.638174284145336	3.73544243971322	0.36676757308849	522	357	302	1315	377	1387	357	610	977	757	11.829	11.924	5.682	20.638	7.547	32.683	6.332	11.704	14.956	12.938
GPR183	0	0.611088778555143	0.638436752552186	3.88111785577189	0.367059606410718	1170	427	362	545	161	420	1281	123	3037	617	26.513	14.262	6.811	8.553	3.223	9.897	22.722	2.360	46.491	10.545
RHOT1	0	-0.378075530628597	0.638436752552186	5.82471316141898	0.367095877501107	2098	1592	4731	4039	3097	2282	2257	1626	2463	4724	47.543	53.175	89.016	63.390	61.999	53.773	40.035	31.198	37.704	80.739
OLIG1	0	1.24514287343343	0.638436752552186	-1.9165971467672	0.366974811301939	0	16	3	11	0	1	0	42	2	36	0.000	0.534	0.056	0.173	0.000	0.024	0.000	0.806	0.031	0.615
TRIM69	0	0.658291362236049	0.638436752552186	-0.20106449486723	0.367066012143076	27	27	40	15	34.98	47	52	55	78	46	0.612	0.902	0.753	0.235	0.700	1.108	0.922	1.055	1.194	0.786
LOC400027	0	-0.452147967416927	0.638436752552186	3.48927147242203	0.366986064537527	490	543	638	901	530	267	658	512	643	520	11.104	18.137	12.004	14.141	10.610	6.292	11.672	9.824	9.843	8.887
FLJ45340	0	-0.37710998626959	0.638436752552186	5.30847974988456	0.367112451371311	1573	1818	3239	2217	1577	1856	2508	1825	2011	1011	35.646	60.724	60.944	34.795	31.570	43.735	44.487	35.016	30.784	17.279
RNASE6	0	-0.51760829099877	0.638478759690923	3.55993957667528	0.367174147338872	1011	593	473	499	544	500	327	144	1116	700	22.910	19.807	8.900	7.832	10.890	11.782	5.800	2.763	17.084	11.964
UBQLNL	0	-0.664686451711126	0.638478759690923	-1.09221157665347	0.367201288498163	25	25	20	40	17	18	9	14	34	18	0.567	0.835	0.376	0.628	0.340	0.424	0.160	0.269	0.520	0.308
C16orf79	0	0.808148644540447	0.638632007466369	-0.951801431092934	0.367321773112178	9.11	32.6	9.14	20.12	6.07	9.04	31.28	84.26	21.2	10.03	0.206	1.089	0.172	0.316	0.122	0.213	0.555	1.617	0.325	0.171
IDI2	0	0.590288519270345	0.638678121966114	1.87149748121557	0.367380648011711	103	138	126	177	136	104	322	270	237	248	2.334	4.609	2.371	2.778	2.723	2.451	5.712	5.180	3.628	4.239
HSPA1A	0	0.678453703585687	0.63874496432864	9.31057472526419	0.367493625507537	21514.49	9402.32	5219.36	28052.88	54465.36	49113.72	2300	41511.17	21209.32	88070.98	487.541	314.050	98.205	440.274	1090.338	1157.318	40.797	796.474	324.673	1505.233
XRCC4	0	0.523858043208603	0.63874496432864	2.72428287107791	0.367516160966924	250	213	190	393	255	200	509	270	520	663	5.665	7.114	3.575	6.168	5.105	4.713	9.029	5.180	7.960	11.331
ZPBP	0	-1.27420716277467	0.63874496432864	-4.25785686873048	0.36749302250999	0	0	0	5	1	0	1	0	1	0	0.000	0.000	0.000	0.078	0.020	0.000	0.018	0.000	0.015	0.000
GCH1	0	0.485028869942222	0.638764541741048	3.75592615163005	0.367609994382745	396	662	321	1113	263	522	1049	494	742	1490	8.974	22.112	6.040	17.468	5.265	12.300	18.607	9.478	11.359	25.466
MTNR1A	0	1.15430259799078	0.638764541741048	-3.67753030531835	0.367581884190488	0	1	2	3	0	0	8	4	3	0	0.000	0.033	0.038	0.047	0.000	0.000	0.142	0.077	0.046	0.000
PPA1	0	0.418326497572513	0.638764541741048	7.671168455916	0.367643521894876	9423	6065	7321	10100	8424	3321	19247	10693	17056	15149	213.535	202.579	137.749	158.514	168.639	78.256	341.403	205.166	261.094	258.914
TYROBP	0	-0.439454938246536	0.638764541741048	4.86810420331368	0.36765684772584	2629	1228	997	1071	1649	1054	906	539	3045	1654	59.576	41.017	18.759	16.809	33.011	24.837	16.071	10.342	46.613	28.269
OTOF	0	-0.801564282775012	0.63910013022302	-1.85281766228485	0.367882376651525	9	12	2	56	6	8	8	6	24	4	0.204	0.401	0.038	0.879	0.120	0.189	0.142	0.115	0.367	0.068
KCNRG	0	0.764598047029064	0.639240457452291	-0.66342330272439	0.367995532314116	17.12	20.22	22.22	31.1	13.95	6.7	92	6.87	97.13	21.37	0.388	0.675	0.418	0.488	0.279	0.158	1.632	0.132	1.487	0.365
ZNF207	0	0.377179758686919	0.639493692907733	7.22440993200819	0.368173706493227	5074	4712	6901	9824	5180	6481	15837	6802	7769	8759	114.982	157.387	129.846	154.182	103.698	152.719	280.916	130.510	118.928	149.701
SH3BGRL	0	0.504127106955066	0.639583591458431	8.05889810518369	0.368257860607233	7909	12264	6969	16399.96	8849	30235.96	4359	4825	25843	19451	179.226	409.634	131.126	257.388	177.147	712.482	77.320	92.577	395.606	332.440
DOK1	0	-0.533857894092041	0.639811500080343	4.22630178106768	0.368421493917199	1556	469	1292	518	1195	578	355	290	2793	656	35.261	15.665	24.310	8.130	23.923	13.620	6.297	5.564	42.755	11.212
MALAT1	0	-0.455824230438001	0.639941695662817	7.81919353736081	0.36852887944436	9614.66	6783.24	20495.26	12635.22	12391.57	16525.59	13808.12	4337.73	6035.47	8728.64	217.879	226.570	385.630	198.303	248.066	389.410	244.928	83.228	92.391	149.182
COPB1	0	0.380358985992877	0.640103844197046	7.62051038749276	0.368666421086071	7371.87	5507	7951.16	14153.93	7296.4	12712.37	7313	8089.94	16980.95	15916.23	167.054	183.941	149.605	222.138	146.066	299.555	129.718	155.222	259.945	272.026
PLS3	0	-0.439636225159962	0.640103844197046	8.05056448280389	0.368719527718003	16468	8479	17825	9937	17465	4536	12183	14251	11971	18239	373.183	283.210	335.387	155.956	349.630	106.887	216.102	273.434	183.253	311.725
CHMP4A	0	-0.363410447866667	0.640103844197046	5.40814193694753	0.368717213599531	2356.28	1354.6	2309.78	2468.32	2827.53	1078.9	1326.22	2121.96	3563.06	2337.76	53.396	45.246	43.460	38.739	56.604	25.423	23.524	40.714	54.543	39.955
BATF	0	0.737750860567861	0.640221398901635	2.79295208385493	0.368874426795653	128	235	29	1026	59	221	51	349	1309	636	2.901	7.849	0.546	16.103	1.181	5.208	0.905	6.696	20.038	10.870
EFR3A	0	0.427550368297257	0.640221398901635	6.88976645375428	0.368861783517159	4673	2870	4311	8754	4639	12570	2555	6473	5134	8015	105.895	95.862	81.114	137.389	92.868	296.200	45.321	124.197	78.591	136.985
TYSND1	0	-0.384987516268639	0.640221398901635	4.86276793984111	0.368884531076188	1000	941	2383	1757	1771	1117	1076	1766	1734	1086	22.661	31.431	44.837	27.575	35.454	26.321	19.086	33.884	26.544	18.561
ZBTB24	0	0.410670474076689	0.640225347851997	4.38469881144401	0.368951665612004	786.21	756	688.96	1285.36	785	738	2233	996	1018	1459.6	17.816	25.251	12.963	20.173	15.715	17.390	39.609	19.110	15.584	24.946
ZNF517	0	0.50395379886191	0.640225347851997	3.3305192563369	0.368923106474444	282	354	344	664	376	1002	231	401	956	579	6.390	11.824	6.473	10.421	7.527	23.611	4.097	7.694	14.634	9.896
KIAA1731	0	0.426499617414827	0.640332289326448	4.51854205016396	0.369045729305862	849	540	961	1783	781	732	2941	714.41	1603.29	1311	19.239	18.037	18.082	27.983	15.635	17.249	52.167	13.707	24.543	22.406
C20orf96	0	0.451568349084377	0.640424200340697	3.63171925330011	0.369131140496241	309	463	412	1011	409	740	861	796	987	469	7.002	15.465	7.752	15.867	8.188	17.437	15.272	15.273	15.109	8.016
PPP3CC	0	-0.444091619845457	0.640545575626205	4.23250916235836	0.36926599109522	1267.34	723.87	1071.06	1268.7	798.29	736.71	1103.08	318.91	1962.41	489.71	28.719	24.178	20.153	19.912	15.981	17.360	19.566	6.119	30.041	8.370
SNORD15B	0	1.32425139239566	0.640545575626205	-3.56348570700508	0.369235435464525	1	2	0	3	0	0	0	3	18	0	0.023	0.067	0.000	0.047	0.000	0.000	0.000	0.058	0.276	0.000
PDCD4	0	0.571476200562253	0.640562894291294	8.31792722115498	0.369308421782165	7671.98	9546.28	6107.91	37949.93	8054.22	49150.78	9029.76	5435.98	29718.41	6917.81	173.855	318.859	114.924	595.603	161.237	1158.191	160.170	104.300	454.931	118.233
SAMD9	0	0.412370683021894	0.641033307442571	4.99360320949082	0.369647808060926	1217	850	1961	1256	1108	1719	3785	1639	1622	935	27.579	28.391	36.897	19.712	22.181	40.507	67.138	31.447	24.830	15.980
PCBD2	0	-0.442919877151193	0.641033307442571	3.84909288948728	0.369677044130973	623	589.94	881.92	1086	801	562	458	316	920.81	1133.89	14.118	19.705	16.594	17.044	16.035	13.243	8.124	6.063	14.096	19.379
LOC92249	0	0.363691555860974	0.641033307442571	5.11627163391989	0.369613343970507	949	952	1525	2806	1399	1163	3202	1897	2987	1577	21.505	31.798	28.694	44.039	28.006	27.405	56.797	36.398	45.725	26.953
GEMIN8	0	0.407025661012055	0.641291200219682	4.46349424962894	0.369858251732413	768	640	795	1434	994	1190	1525	887	2837	710	17.404	21.377	14.958	22.506	19.899	28.041	27.050	17.019	43.429	12.135
CDH8	0	-0.851058037489773	0.641305867100615	-0.870916938016109	0.369899195049879	33	20	6	27	67	1	3	44	27	23	0.748	0.668	0.113	0.424	1.341	0.024	0.053	0.844	0.413	0.393
ERC2	0	0.792744703280034	0.641528682591996	-0.292554125398683	0.370060208558284	30	28	5	66	15	6	71	118	48	17	0.680	0.935	0.094	1.036	0.300	0.141	1.259	2.264	0.735	0.291
CSF2	0	1.35814489666232	0.641686523202346	-3.96315953999706	0.370188081901026	0	0	3	0	0	1	5	0	0	4	0.000	0.000	0.056	0.000	0.000	0.024	0.089	0.000	0.000	0.068
FBXW4	0	-0.350399241392486	0.641686523202346	6.05077055635308	0.37021626477939	3404	2676	3291	4660	3704	3326	3257	2024	5686	1969	77.138	89.382	61.922	73.136	74.150	78.374	57.773	38.834	87.042	33.652
GPM6A	0	-1.20278019259239	0.641885981574636	1.71778696462564	0.370363854529262	120	229	367	70	204	10	0	0	688	1	2.719	7.649	6.905	1.099	4.084	0.236	0.000	0.000	10.532	0.017
SCARNA10	0	0.868033893916376	0.642191252833564	-2.58062723395974	0.370572523162798	5	5	3	6	2	1	6	6	37	2	0.113	0.167	0.056	0.094	0.040	0.024	0.106	0.115	0.566	0.034
ZSCAN22	0	0.526883857311031	0.642278478338772	2.67569200516532	0.370655389712979	243	175	242	417	201	398	368	525	520	192	5.507	5.845	4.553	6.545	4.024	9.378	6.528	10.073	7.960	3.281
KCNE3	0	-0.55967864048208	0.642484067141552	3.21170808481641	0.370807567806612	682	404	621	166	550	158	344	372	313	839	15.455	13.494	11.684	2.605	11.010	3.723	6.102	7.138	4.791	14.339
TFB1M	0	0.526999691293713	0.642484067141552	3.22613743932392	0.370871665947985	292	278	327	740	282	189	1248	327	470	802	6.617	9.286	6.153	11.614	5.645	4.454	22.137	6.274	7.195	13.707
RFX8	0	0.72694454114106	0.642484067141552	-0.562332432473834	0.370840010249644	23	17	15	19	37	23	34	26	14	116	0.521	0.568	0.282	0.298	0.741	0.542	0.603	0.499	0.214	1.983
IRF2	0	-0.37817769511844	0.642555219339574	5.2505185400055	0.370977833554476	1834	1464	2145	2914	2019	2037	609	1791	2814	1745	41.560	48.900	40.359	45.734	40.418	48.000	10.802	34.364	43.077	29.824
PET112L	0	-0.458161123456805	0.642555219339574	4.50566099687598	0.370965163533441	901	616	1995	1296	1451	1732	967	384	755	1153	20.418	20.575	37.537	20.340	29.047	40.813	17.153	7.368	11.558	19.706
PRPS1	0	0.357674209186138	0.642638382757609	5.45129966604946	0.371114187866414	1780	1417	1752	2272	1870	1894	3522	3224	3235	1392	40.337	47.330	32.965	35.658	37.435	44.630	62.473	61.859	49.522	23.791
EIF2A	0	0.41867170870433	0.642638382757609	7.13695781679509	0.371188606959022	4358	3383	7227	7937	6353	3937	19467	4035	11366	6521	98.757	112.997	135.980	124.567	127.180	92.772	345.305	77.419	173.991	111.451
S100Z	0	-0.874945611505608	0.642638382757609	-3.39323554994605	0.371178458660038	3	3	1	9	3	3	2	0	4	2	0.068	0.100	0.019	0.141	0.060	0.071	0.035	0.000	0.061	0.034
SPRYD4	0	-0.445373772289494	0.642638382757609	3.81077143990406	0.371107595779687	411	578	593	2010	642	397	762	598	954	578	9.314	19.306	11.158	31.546	12.852	9.355	13.516	11.474	14.604	9.879
C20orf199	0	0.372147475840727	0.642638382757609	6.39687278277718	0.371131951300139	2563	3667	4302	3421	2877	3976	4522	3902	11057	3698	58.080	122.483	80.944	53.691	57.594	93.691	80.211	74.868	169.261	63.203
BMPR1A	0	-0.35903195609212	0.642649379249761	5.28290463001539	0.371236585174795	1881	928	2752	2636	2407	2089	1622	1058	2435	2100	42.625	30.996	51.780	41.371	48.186	49.225	28.771	20.300	37.275	35.891
ALS2CR11	0	-0.847663763531721	0.642649379249761	-0.197457920520562	0.371260063334187	41	15	88	25	80	14	18	100	3	9	0.929	0.501	1.656	0.392	1.602	0.330	0.319	1.919	0.046	0.154
BTF3L4	0	0.403683254621101	0.642797454618876	5.91141627567259	0.371378166719831	2071	1690	3033	3148	2457	1536	8629	2627	3131	2835	46.931	56.448	57.068	49.406	49.186	36.194	153.061	50.404	47.929	48.453
EFCAB4A	0	0.669452436197351	0.642814665479043	5.32669791582765	0.371420671113334	792	1912	143	4954	468	1263	269	732	4393	7535	17.948	63.863	2.691	77.750	9.369	29.761	4.772	14.045	67.248	128.782
TTC9C	0	0.414685114241788	0.643128057408274	3.84137284364984	0.371634326760895	438	455	563	950	589	694	923	921	1114	786	9.926	15.198	10.593	14.910	11.791	16.353	16.372	17.671	17.053	13.434
ADAM22	0	-0.73953937231549	0.6433265105761	1.8950589218573	0.371814177169147	427	64	193	162	226	192	163	3	207	200	9.676	2.138	3.631	2.543	4.524	4.524	2.891	0.058	3.169	3.418
OR2A4	0	0.696990974939307	0.6433265105761	0.812086128495268	0.371807197062701	20	94	55	42	76	135	91	28	175	162	0.453	3.140	1.035	0.659	1.521	3.181	1.614	0.537	2.679	2.769
CDH6	0	-0.572811691295239	0.643379097475886	2.46002022138576	0.371877159421403	256	228	539	162	290	117	266	169	286	382	5.801	7.616	10.142	2.543	5.805	2.757	4.718	3.243	4.378	6.529
LRRC56	0	0.860725724461732	0.643691610738533	1.80769568593243	0.372090399237572	51	103	12	545	15	404	13	94	662	105	1.156	3.440	0.226	8.553	0.300	9.520	0.231	1.804	10.134	1.795
RSBN1L	0	0.372055509782622	0.643862211862962	4.64503149311677	0.372221630229561	788.27	850.19	921.34	1927.87	907.02	1495.64	1656.85	975.24	2493.61	1213.97	17.863	28.398	17.336	30.257	18.158	35.243	29.389	18.712	38.172	20.748
SSBP2	0	-0.413496683620922	0.643891992711148	4.67298910916109	0.372304077438849	1423	1013	1226	1825	1468	561	1005	463	2618	1771	32.247	33.836	23.068	28.642	29.388	13.219	17.827	8.884	40.076	30.268
FAM24B	0	0.715740963823991	0.643891992711148	0.0711947615697731	0.37227824664162	35.97	32.98	23.56	56.84	34.97	49.63	72.33	142.99	44.39	10.95	0.815	1.102	0.443	0.892	0.700	1.169	1.283	2.744	0.680	0.187
SARNP	0	0.335831492882977	0.643946429080152	5.30406550725024	0.37240078922136	1557.55	1126.72	1406.1	2517.33	1889.17	1377.33	2698.62	1912.97	3178.31	3051	35.296	37.634	26.457	39.508	37.819	32.455	47.868	36.704	48.654	52.145
FNIP1	0	-0.390591422831761	0.643946429080152	5.50201574464873	0.372398106573449	2309	1335	3075	2651	2852	1990	946	1207	2609	4002	52.324	44.591	57.858	41.606	57.094	46.892	16.780	23.159	39.939	68.399
CPOX	0	0.413272885946302	0.644097439346935	4.17956337119353	0.372520745743253	601	445	907	988	809	1169	1664	865	1065	757	13.619	14.864	17.066	15.506	16.195	27.546	29.516	16.597	16.303	12.938
FAM160A1	0	0.711577073930399	0.644323967502075	2.55075466790206	0.372684397979242	184	136	7	845	94	232	291	673	244	435	4.170	4.543	0.132	13.262	1.882	5.467	5.162	12.913	3.735	7.435
CPA6	0	0.969490748162378	0.6443997341412	-3.33515652781831	0.372760863331603	2	1	0	4	3	1	1	1	7	13	0.045	0.033	0.000	0.063	0.060	0.024	0.018	0.019	0.107	0.222
PPFIA1	0	-0.35156694879452	0.644403616742065	6.07352387474129	0.372795750522294	3730.85	2121.91	3763.95	5128.7	3581.86	3654.81	2005.86	2282.9	3532.8	4428.9	84.545	70.875	70.821	80.492	71.705	86.122	35.580	43.802	54.080	75.695
NLRP14	0	-0.923572651878988	0.644558277718704	-2.99431225586759	0.372917872966418	4	2	8	7	7	6	2	0	9	0	0.091	0.067	0.151	0.110	0.140	0.141	0.035	0.000	0.138	0.000
LOC100134713	0	0.702858746504529	0.645508438658279	-0.42097937449152	0.373500298591506	12.01	37.01	8	62.07	15.01	35.01	74.02	53.03	51.01	23.01	0.272	1.236	0.151	0.974	0.300	0.825	1.313	1.017	0.781	0.393
BDNF	0	0.801321595471046	0.645561242239697	-0.278373840907548	0.373563551380119	30.3	21.2	21.04	55.04	14.93	22.16	11.31	6.36	259.11	28.57	0.687	0.708	0.396	0.864	0.299	0.522	0.201	0.122	3.966	0.488
NDUFV1	0	-0.37866679969468	0.645642595071409	6.13546842854891	0.373643331409728	3545	2391	3789	5094	4343	3631	1106	3881	4707	3103	80.334	79.863	71.292	79.948	86.942	85.561	19.618	74.465	72.055	53.034
LY6G5B	0	-0.720858107092498	0.645654211121885	1.06216312773552	0.373682758397257	85	105	223.58	60	97.44	21.77	231.77	67.31	75	30.03	1.926	3.507	4.207	0.942	1.951	0.513	4.111	1.291	1.148	0.513
CLCN5	0	0.471674169233486	0.64582618929176	3.64286509681453	0.373847720151263	575	264	572	624	473	353	1089	1128	544	714	13.030	8.818	10.762	9.793	9.469	8.318	19.317	21.643	8.328	12.203
C15orf26	0	0.845571448247637	0.64582618929176	-2.16381943021967	0.373837698677515	11	10	1	3	3	20	18	3	20	4	0.249	0.334	0.019	0.047	0.060	0.471	0.319	0.058	0.306	0.068
HIST1H3F	0	1.29809495677639	0.645833807720482	-3.637512292577	0.373884843908286	1	0	0	6	0	1	6	8	0	0	0.023	0.000	0.000	0.094	0.000	0.024	0.106	0.153	0.000	0.000
IGSF21	0	-0.946575618815485	0.64586083836136	1.7667967930397	0.373933207500271	146	498	2	186	94	17	7	48	93	479	3.309	16.634	0.038	2.919	1.882	0.401	0.124	0.921	1.424	8.187
TBCEL	0	-0.402593101443669	0.646007680754902	4.38320037942701	0.374050947153748	890	709	1547	1371	1159	564	793	729	1273	1624	20.168	23.682	29.108	21.517	23.202	13.290	14.066	13.987	19.487	27.756
CCRL2	0	-0.63644891766989	0.646178327059342	2.28110306224961	0.374182485814122	490	199	274	188	175	103	119	51	272	527	11.104	6.647	5.155	2.951	3.503	2.427	2.111	0.979	4.164	9.007
CPA3	0	-0.630936684716968	0.646207789831957	4.08126335404658	0.374232279462505	822	344	1067	682	1905	1256	124	55	769	1345	18.627	11.490	20.076	10.704	38.136	29.596	2.200	1.055	11.772	22.988
PEX10	0	-0.432065453061801	0.646271945077374	4.36338096368184	0.374350235049812	968.06	652.39	1017.62	2617.96	854.29	1219.16	476.98	606.19	1987.61	612.72	21.937	21.791	19.147	41.087	17.102	28.728	8.461	11.631	30.426	10.472
TRNT1	0	0.404236272700359	0.646271945077374	4.31939084065893	0.374339675497698	659.48	586.57	875.62	1206.71	831.58	1203.33	1329.97	470.56	1547.95	1711.5	14.945	19.592	16.475	18.939	16.647	28.355	23.591	9.029	23.696	29.251
SLC25A26	0	-0.400706996886589	0.646271945077374	4.17360086257258	0.37436764076106	849.83	759.43	1132.84	1028.94	1028.61	790	597.33	637.74	1403.96	883.94	19.258	25.366	21.315	16.149	20.592	18.616	10.595	12.236	21.492	15.108
PCDHGB8P	0	0.866352181894635	0.646392534803768	-2.91586661620609	0.374470237085943	3	2	1	5	5	0	15	4	7	8	0.068	0.067	0.019	0.078	0.100	0.000	0.266	0.077	0.107	0.137
PANK3	0	0.453701380072129	0.646473709036746	5.43836471582353	0.374550009318321	1287	740	1513	5264	1195	4027	2220	1169	1181	4387	29.165	24.717	28.468	82.616	23.923	94.892	39.378	22.430	18.079	74.979
IFI16	0	-0.389534328411531	0.647141436340006	7.05902375375248	0.375020905872363	9038	5860	7753	5053	6530	3061	6013	8652	7604	5978	204.811	195.732	145.877	79.304	130.724	72.130	106.658	166.006	116.402	102.171
RPL3L	0	-1.36934351488558	0.647141436340006	-4.21916386087425	0.374970140014315	0	2	0	4	0	0	0	0	0	2	0.000	0.067	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.034
ATP6AP2	0	0.369423510799828	0.647141436340006	7.74463931474911	0.375035212904772	8753	5997	7903	13610	9320	12752	12543	10359	12040	17023	198.352	200.308	148.699	213.601	186.576	300.489	222.487	198.758	184.309	290.942
SYT10	0	1.40816416537953	0.647212786915527	-4.3351459632125	0.375109345957221	0	1	0	0	0	3	0	1	0	0	0.000	0.033	0.000	0.000	0.000	0.071	0.000	0.019	0.000	0.000
